hora,especie,estrato,replica,par,tleaf
10:00,Rosalillo 1 ,Basal,1,30,12
10:00,Rosalillo 1 ,Basal,2,55,9.6
10:00,Rosalillo 1 ,Basal,3,46.9,10.1
10:00,Rosalillo 1 ,Media,1,54.8,9.4
10:00,Rosalillo 1 ,Media,2,55.5,9.7
10:00,Rosalillo 1 ,Media,3,183,12.3
10:00,Rosalillo 1 ,Apical,1,490.4,11.7
10:00,Rosalillo 1 ,Apical,2,497,12.5
10:00,Rosalillo 1 ,Apical,3,566.4,10.4
10:00,Rosalillo 2,Basal,1,30.7,13.5
10:00,Rosalillo 2,Basal,2,37.1,13.7
10:00,Rosalillo 2,Basal,3,83.1,13.7
10:00,Rosalillo 2,Media,1,488.6,12.7
10:00,Rosalillo 2,Media,2,396.1,11.6
10:00,Rosalillo 2,Media,3,503.2,12.9
10:00,Rosalillo 2,Apical,1,802.7,11.8
10:00,Rosalillo 2,Apical,2,674.4,11.2
10:00,Rosalillo 2,Apical,3,652.5,12.6
10:00,Rosalillo 3,Basal,1,193.2,13.1
10:00,Rosalillo 3,Basal,2,29.9,12.5
10:00,Rosalillo 3,Basal,3,167.2,12.1
10:00,Rosalillo 3,Media,1,251.7,18.7
10:00,Rosalillo 3,Media,2,604,12.9
10:00,Rosalillo 3,Media,3,72.9,13
10:00,Rosalillo 3,Apical,1,569.9,16.5
10:00,Rosalillo 3,Apical,2,581.4,15
10:00,Rosalillo 3,Apical,3,574.1,16.3
10:30,Rosalillo 1 ,Basal,1,49.7,13.6
10:30,Rosalillo 1 ,Basal,2,145.9,13.8
10:30,Rosalillo 1 ,Basal,3,56.3,14.5
10:30,Rosalillo 1 ,Media,1,176.2,13.5
10:30,Rosalillo 1 ,Media,2,1011.7,16.3
10:30,Rosalillo 1 ,Media,3,320.5,13.2
10:30,Rosalillo 1 ,Apical,1,1007.9,18.6
10:30,Rosalillo 1 ,Apical,2,986.2,14.6
10:30,Rosalillo 1 ,Apical,3,858.6,19.2
10:30,Rosalillo 2,Basal,1,930,15.5
10:30,Rosalillo 2,Basal,2,980.6,14.7
10:30,Rosalillo 2,Basal,3,714.8,14.9
10:30,Rosalillo 2,Media,1,969,16.3
