tratamiento,componentes,valores
Levadura,RC2,1.4498578314811847
Levadura,RC2,1.3086001179037643
Levadura,RC2,1.27077686300947
Levadura,RC2,1.4516610747057437
Lectina marina,RC2,-0.9829165360661274
Lectina marina,RC2,-1.517587857531907
Lectina marina,RC2,-1.5885588761727418
Lectina marina,RC2,-1.1683531802131117
Echium/Bacalao,RC2,0.10429539668700942
Echium/Bacalao,RC2,0.2325545415736221
Echium/Bacalao,RC2,0.13824394332952564
Echium/Bacalao,RC2,0.16266395202273326
Enriquecedor comercial,RC2,-0.19839170710473641
Enriquecedor comercial,RC2,-0.18629367536833194
Enriquecedor comercial,RC2,-0.29899028261204164
Enriquecedor comercial,RC2,-0.1775616056440533
