tratamiento,16:0,16:1n-7,18:0,18:1n-9,18:2n-6,18:3n-6,18:3n-3,18:4n-3,20:4n-6,20:5n-3,22:6n-3
Levadura,10.91,2.52,5.74,21.22,6.71,NA,24.61,3.57,1.39,2.18,NA
Levadura,11.13,2.56,5.86,22.06,6.61,NA,23.47,3.2,1.32,1.91,NA
Levadura,10.8,2.54,5.68,21.75,6.98,NA,24.28,3.48,1.4,2.14,NA
Lectina marina,11.88,2.28,5.37,17.68,4.52,NA,21.92,3.06,1.35,4.86,3.72
Lectina marina,12.14,2.35,5.82,18.5,4.41,NA,21.32,2.85,1.26,4.38,3.33
Lectina marina,12.23,2.28,5.56,18.01,4.3,NA,21.43,2.91,1.29,4.65,3.75
Lectina marina,12.62,2.39,5.88,18.85,4.15,NA,20.6,2.56,1.19,3.71,2.57
Echium/Bacalao,10.56,2.76,5.23,19.87,6.36,0.94,26.29,4.49,0.98,2.54,0.62
Echium/Bacalao,10.38,2.9,5.11,19.43,6.27,0.93,26.19,4.46,0.98,2.55,0.59
Echium/Bacalao,10.49,2.8,5.25,19.95,6.25,1.03,25.67,4.57,0.98,2.66,0.7
Echium/Bacalao,10.49,2.92,5.14,19.56,6.38,1.01,26.29,4.75,0.97,2.68,0.73
Enriquecedor comercial,11.91,2.26,5.24,19,7,NA,23.33,3.26,1.56,2.96,3.81
Enriquecedor comercial,11.88,2.27,5.25,19,6.83,NA,23.15,3.23,1.53,2.89,3.64
Enriquecedor comercial,11.9,2.25,5.25,18.86,6.69,NA,22.97,3.2,1.54,2.93,3.98
Enriquecedor comercial,11.75,2.27,5.22,19.19,6.77,NA,23.02,3.22,1.55,2.94,3.93
