Tratamiento,C 16:0,C 16:1n-7,C 18:0,C 18:1n-9,C 18:2n-6,C 18:3n-6,C 18:3n-3,C 18:4n-3,C 20:4n-6,C 20:5n-3,C 22:6n-3
1,10.44,2.45,5.49,21.02,6.75,0.31,23.46,3.36,1.35,2.07,0.01
1,10.5,2.46,5.52,20.56,6.55,0.37,24.02,3.49,1.36,2.14,0.02
1,10.51,2.43,5.53,20.45,6.47,0.27,23.71,3.43,1.34,2.1,0.03
1,10.75,2.47,5.66,21.3,6.38,0.26,22.66,3.09,1.28,1.85,0.04
2,12.2,2.31,5.68,18.23,4.01,0.23,19.91,2.48,1.15,3.59,2.49
2,11.81,2.2,5.37,17.39,4.15,0.22,20.7,2.81,1.25,4.49,3.62
2,11.45,2.2,5.18,17.03,4.35,0.25,21.12,2.95,1.31,4.68,3.59
2,11.71,2.27,5.61,17.85,4.25,0.24,20.56,2.75,1.22,4.22,3.21
3,10.03,2.8,4.91,18.71,6.1,0.96,25.13,4.54,0.91,2.56,0.69
3,10.08,2.63,4.99,18.96,6.06,0.89,25.08,4.28,0.93,2.43,0.59
3,9.96,2.78,4.9,18.64,6.01,0.9,25.12,4.28,0.92,2.44,0.57
3,10.01,2.67,5.01,19.04,5.97,0.99,24.5,4.36,0.94,2.54,0.67
4,11.39,2.16,5.01,18.17,6.69,0.26,22.21,3.12,1.49,2.83,3.65
4,11.39,2.18,5.03,18.21,6.54,0.25,22.19,3.1,1.47,2.77,3.49
4,11.41,2.15,5.04,18.09,6.42,0.27,22.03,3.06,1.48,2.81,3.82
4,11.28,2.18,5.01,18.42,6.5,0.23,22.11,3.09,1.49,2.83,3.77
