o_heces,o_ambext,o_ambmed,o_ambint,o_grooming,o_up,h_cabeza,h_amb,h_t_oler,h_grooming,h_up,p_t_cto,p_t_ba,p_t_bc,p_cto,p_ba,p_bc,p_grooming,p_up,raton,v_j
1,78,22,2,0,37,47,68,"29,57",0,20,163,0,17,2,0,1,0,10,Blanco,Viejos
1,73,22,2,1,19,57,60,"43,26",0,12,95,32,53,3,2,4,0,5,Azul,Viejos
1,170,12,3,0,38,31,72,"53,11",0,17,18,0,162,3,7,3,2,12,N-R,Jovenes
2,75,57,6,1,13,16,42,"20,79",4,7,39,134,7,5,0,2,0,4,R-N,Jovenes
1,79,25,3,0,46,43,53,"12,87",0,22,11,0,170,5,0,6,0,20,Negro,Viejos
0,71,13,1,0,48,52,58,7,0,15,"8,38",0,172,4,0,5,0,24,Rojo,Viejos
2,60,17,2,0,32,55,31,"6,39",0,11,"4,7",0,"175,3",0,1,4,0,18,N-R,Viejos
0,68,11,2,1,29,37,47,"8,79",0,13,0,3,177,2,0,5,0,23,R-N,Viejos
1,87,11,2,7,21,33,49,"29,85",0,6,"15,15",0,164,9,0,10,5,19,Blanco,Jovenes
0,77,39,4,1,46,21,63,"17,8",0,28,95,"8,1",77,9,2,8,0,27,Rojo,Jovenes
2,54,20,3,2,31,40,45,"29,3",0,14,46,3,131,12,1,11,1,25,Azul,Jovenes
1,92,11,0,1,35,36,82,19,0,29,80,0,100,4,0,7,1,16,Negro,Jovenes
