semana1;semana2;semana3;semana4;semana5;semana6;semana7;semana8;semana9;semana10;semana11
0,02113;0,0445;0,0323;0,0759;0,0775;0,0764;0,0332;0,1018;0,12;0,0902;0,135
;0,025;0,0442;0,0589;0,0747;0,0893;0,0896;0,0941;0,1182;0,1383;0,1132
;0,0452;0,0344;0,0318;0,0792;0,0893;0,1184;0,1151;0,1021;0,1074;0,1503
;0,0184;0,0498;0,0398;0,0724;0,0603;0,1098;0,1372;0,1025;0,1165;0,1239
;0,0429;0,0462;0,0289;0,0539;0,0498;0,0704;0,1274;0,1428;0,1388;0,1017
;0,0222;0,018;0,0527;0,0551;0,0534;0,0601;0,0877;0,1301;0,13;0,1658
;0,0175;0,0337;0,0637;0,0534;0,0874;0,1239;0,0823;0,0932;0,1247;0,1019
;0,0407;0,0428;0,0493;0,0502;0,0767;0,0825;0,1199;0,0732;0,1189;
;0,0314;0,0306;0,0452;0,0594;0,0637;0,0877;0,0816;0,097;0,1422;
;0,0257;0,0323;0,0357;0,0341;0,061;0,0782;0,0901;0,1281;0,105;
;0,0316;0,0205;0,0387;0,053;0,077;0,1043;0,121;0,139;0,1325;
;0,0338;0,034;0,037;0,0372;0,048;0,0501;0,0771;0,1433;;
