Semana,Peso larva promedio (g),Tasa de crecimiento,Tasa de crecimiento/7,dia
0,0.02113,0.010445,0.001492142857142857,0
1,0.031575,0.0033250000000000016,4.750000000000002e-4,7
2,0.0349,0.011566670000000001,0.0016523814285714286,14
3,0.04646667,0.011874999999999997,0.001696428571428571,21
4,0.05834167,0.011016659999999998,0.001573808571428571,28
5,0.06935833,0.014658340000000006,0.0020940485714285723,35
6,0.08401667,0.018925029999999995,0.0027035757142857136,42
7,0.1029417,0.01285,0.0018357142857142858,49
8,0.1157917,0.0064356,9.193714285714286e-4,56
9,0.1222273,0.005172700000000016,7.389571428571452e-4,63
10,0.1274,NA,NA,70
11,NA,NA,NA,77
