generacion,tratamiento,resultados
Generación 0,engdogamicos,268
Generación 0,control,276
Generación 0,engdogamicos,289
Generación 0,control,295
Generación 0,engdogamicos,253
Generación 0,control,263
Generación 0,engdogamicos,263
Generación 0,control,287
Generación 0,engdogamicos,256
Generación 0,control,292
Generación 0,engdogamicos,295
Generación 0,control,282
Generación 0,engdogamicos,279
Generación 0,control,252
Generación 0,engdogamicos,270
Generación 0,control,245
Generación 0,engdogamicos,275
Generación 0,control,265
Generación 0,engdogamicos,260
Generación 0,control,275
Generación 0,engdogamicos,290
Generación 0,control,289
Generación 0,engdogamicos,263
Generación 0,control,272
Generación 1,engdogamicos,346
Generación 1,control,279
Generación 1,engdogamicos,387
Generación 1,control,249
Generación 1,engdogamicos,308
Generación 1,control,291
Generación 1,engdogamicos,315
Generación 1,control,269
Generación 1,engdogamicos,377
Generación 1,control,260
Generación 1,engdogamicos,342
Generación 1,control,269
Generación 1,engdogamicos,333
Generación 1,control,240
Generación 1,engdogamicos,343
Generación 1,control,257
Generación 1,engdogamicos,373
Generación 1,control,265
Generación 1,engdogamicos,345
Generación 1,control,240
Generación 1,engdogamicos,366
Generación 1,control,254
Generación 1,engdogamicos,313
Generación 1,control,255
Generación 2,engdogamicos,386
Generación 2,control,268
Generación 2,engdogamicos,345
Generación 2,control,278
Generación 2,engdogamicos,332
Generación 2,control,276
Generación 2,engdogamicos,330
Generación 2,control,275
Generación 2,engdogamicos,443
Generación 2,control,303
Generación 2,engdogamicos,346
Generación 2,control,290
Generación 2,engdogamicos,404
Generación 2,control,280
Generación 2,engdogamicos,393
Generación 2,control,269
Generación 2,engdogamicos,406
Generación 2,control,288
Generación 2,engdogamicos,434
Generación 2,control,257
Generación 2,engdogamicos,366
Generación 2,control,257
Generación 2,engdogamicos,440
Generación 2,control,303
Generación 3,engdogamicos,446
Generación 3,control,257
Generación 3,engdogamicos,488
Generación 3,control,268
Generación 3,engdogamicos,546
Generación 3,control,296
Generación 3,engdogamicos,483
Generación 3,control,242
Generación 3,engdogamicos,511
Generación 3,control,285
Generación 3,engdogamicos,549
Generación 3,control,309
Generación 3,engdogamicos,453
Generación 3,control,307
Generación 3,engdogamicos,477
Generación 3,control,291
Generación 3,engdogamicos,460
Generación 3,control,255
Generación 3,engdogamicos,528
Generación 3,control,276
Generación 3,engdogamicos,444
Generación 3,control,253
Generación 3,engdogamicos,483
Generación 3,control,296
Generación 4,engdogamicos,505
Generación 4,control,298
Generación 4,engdogamicos,583
Generación 4,control,268
Generación 4,engdogamicos,517
Generación 4,control,235
Generación 4,engdogamicos,491
Generación 4,control,277
Generación 4,engdogamicos,585
Generación 4,control,298
Generación 4,engdogamicos,540
Generación 4,control,236
Generación 4,engdogamicos,553
Generación 4,control,296
Generación 4,engdogamicos,498
Generación 4,control,244
Generación 4,engdogamicos,565
Generación 4,control,277
Generación 4,engdogamicos,524
Generación 4,control,243
Generación 4,engdogamicos,516
Generación 4,control,279
Generación 4,engdogamicos,501
Generación 4,control,240
Generación 5,engdogamicos,493
Generación 5,control,279
Generación 5,engdogamicos,580
Generación 5,control,305
Generación 5,engdogamicos,551
Generación 5,control,310
Generación 5,engdogamicos,575
Generación 5,control,290
Generación 5,engdogamicos,537
Generación 5,control,251
Generación 5,engdogamicos,506
Generación 5,control,264
Generación 5,engdogamicos,531
Generación 5,control,260
Generación 5,engdogamicos,505
Generación 5,control,274
Generación 5,engdogamicos,522
Generación 5,control,284
Generación 5,engdogamicos,519
Generación 5,control,270
Generación 5,engdogamicos,530
Generación 5,control,247
Generación 5,engdogamicos,503
Generación 5,control,297
Generación 6,engdogamicos,560
Generación 6,control,284
Generación 6,engdogamicos,593
Generación 6,control,256
Generación 6,engdogamicos,563
Generación 6,control,262
Generación 6,engdogamicos,504
Generación 6,control,286
Generación 6,engdogamicos,502
Generación 6,control,245
Generación 6,engdogamicos,561
Generación 6,control,254
Generación 6,engdogamicos,585
Generación 6,control,268
Generación 6,engdogamicos,561
Generación 6,control,281
Generación 6,engdogamicos,583
Generación 6,control,289
Generación 6,engdogamicos,554
Generación 6,control,256
Generación 6,engdogamicos,545
Generación 6,control,253
Generación 6,engdogamicos,502
Generación 6,control,257
Generación 7,engdogamicos,598
Generación 7,control,280
Generación 7,engdogamicos,515
Generación 7,control,261
Generación 7,engdogamicos,592
Generación 7,control,280
Generación 7,engdogamicos,539
Generación 7,control,252
Generación 7,engdogamicos,577
Generación 7,control,289
Generación 7,engdogamicos,587
Generación 7,control,299
Generación 7,engdogamicos,504
Generación 7,control,300
Generación 7,engdogamicos,580
Generación 7,control,250
Generación 7,engdogamicos,536
Generación 7,control,277
Generación 7,engdogamicos,540
Generación 7,control,299
Generación 7,engdogamicos,501
Generación 7,control,297
Generación 7,engdogamicos,508
Generación 7,control,280
